SpecimenID,Replicates,S,Structure,F,Filter,Rep,ParticleSize_nm,Penetration_pct
S3F2_R4,S3F24,3,Two-layer woven,2,Meltblown,4,30,8.845623
S3F2_R4,S3F24,3,Two-layer woven,2,Meltblown,4,40,11.202477
S3F2_R4,S3F24,3,Two-layer woven,2,Meltblown,4,60,11.855888
S3F2_R4,S3F24,3,Two-layer woven,2,Meltblown,4,80,11.503256
S3F2_R4,S3F24,3,Two-layer woven,2,Meltblown,4,150,9.00378
S3F2_R4,S3F24,3,Two-layer woven,2,Meltblown,4,250,7.105201
S3F2_R4,S3F24,3,Two-layer woven,2,Meltblown,4,300,6.161893
S3F2_R4,S3F24,3,Two-layer woven,2,Meltblown,4,400,4.628586
S3F2_R5,S3F25,3,Two-layer woven,2,Meltblown,5,30,6.955057
S3F2_R5,S3F25,3,Two-layer woven,2,Meltblown,5,40,9.281632
S3F2_R5,S3F25,3,Two-layer woven,2,Meltblown,5,60,10.83656
S3F2_R5,S3F25,3,Two-layer woven,2,Meltblown,5,80,9.763537
S3F2_R5,S3F25,3,Two-layer woven,2,Meltblown,5,150,7.847397
S3F2_R5,S3F25,3,Two-layer woven,2,Meltblown,5,250,6.05621
S3F2_R5,S3F25,3,Two-layer woven,2,Meltblown,5,300,5.222244
S3F2_R5,S3F25,3,Two-layer woven,2,Meltblown,5,400,3.867491
S3F3_R1,S3F31,3,Two-layer woven,3,Glass fiber,1,30,1.612842
S3F3_R1,S3F31,3,Two-layer woven,3,Glass fiber,1,40,3.076541
S3F3_R1,S3F31,3,Two-layer woven,3,Glass fiber,1,60,7.556631
S3F3_R1,S3F31,3,Two-layer woven,3,Glass fiber,1,80,8.464932
S3F3_R1,S3F31,3,Two-layer woven,3,Glass fiber,1,150,14.993703
S3F3_R1,S3F31,3,Two-layer woven,3,Glass fiber,1,250,13.320218
S3F3_R1,S3F31,3,Two-layer woven,3,Glass fiber,1,300,11.524843
S3F3_R1,S3F31,3,Two-layer woven,3,Glass fiber,1,400,8.375376
S3F3_R2,S3F32,3,Two-layer woven,3,Glass fiber,2,30,2.521874
S3F3_R2,S3F32,3,Two-layer woven,3,Glass fiber,2,40,3.757828
S3F3_R2,S3F32,3,Two-layer woven,3,Glass fiber,2,60,7.362209
S3F3_R2,S3F32,3,Two-layer woven,3,Glass fiber,2,80,9.931675
S3F3_R2,S3F32,3,Two-layer woven,3,Glass fiber,2,150,14.871873
S3F3_R2,S3F32,3,Two-layer woven,3,Glass fiber,2,250,12.924927
S3F3_R2,S3F32,3,Two-layer woven,3,Glass fiber,2,300,11.340922
S3F3_R2,S3F32,3,Two-layer woven,3,Glass fiber,2,400,8.793024
S3F3_R3,S3F33,3,Two-layer woven,3,Glass fiber,3,30,3.306497
S3F3_R3,S3F33,3,Two-layer woven,3,Glass fiber,3,40,4.136186
