SpecimenID,Replicates,S,Structure,F,Filter,Rep_x,ParticleSize_nm,Penetration_pct,DeltaP_Pa,SpecBase,Rep_y
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,300,15.283281,106.24797326666665,S2F2,2
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,400,13.154811,106.24797326666665,S2F2,2
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,30,9.215375,120.22809878333332,S2F2,3
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,40,12.545972,120.22809878333332,S2F2,3
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,60,17.226535,120.22809878333332,S2F2,3
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,80,19.657439,120.22809878333332,S2F2,3
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,150,23.692466,120.22809878333332,S2F2,3
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,250,24.755575,120.22809878333332,S2F2,3
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,300,23.301019,120.22809878333332,S2F2,3
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,400,20.428957,120.22809878333332,S2F2,3
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,30,6.94076,115.87887168333333,S2F2,4
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,40,9.957248,115.87887168333333,S2F2,4
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,60,13.920293,115.87887168333333,S2F2,4
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,80,15.301777,115.87887168333333,S2F2,4
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,150,17.207216,115.87887168333333,S2F2,4
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,250,17.022543,115.87887168333333,S2F2,4
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,300,15.950099,115.87887168333333,S2F2,4
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,400,13.60293,115.87887168333333,S2F2,4
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,30,5.995826,122.34223829999998,S2F2,5
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,40,9.274217,122.34223829999998,S2F2,5
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,60,14.000574,122.34223829999998,S2F2,5
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,80,15.998789,122.34223829999998,S2F2,5
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,150,19.948998,122.34223829999998,S2F2,5
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,250,20.422484,122.34223829999998,S2F2,5
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,300,19.510487,122.34223829999998,S2F2,5
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,400,17.531214,122.34223829999998,S2F2,5
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,30,1.323296,187.59290305,S2F3,1
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,40,2.97972,187.59290305,S2F3,1
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,60,7.445538,187.59290305,S2F3,1
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,80,11.650182,187.59290305,S2F3,1
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,150,15.994363,187.59290305,S2F3,1
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,250,14.152705,187.59290305,S2F3,1
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,300,12.161599,187.59290305,S2F3,1
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,400,8.63367,187.59290305,S2F3,1
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,30,0.924528,191.35700301666665,S2F3,2
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,40,2.241129,191.35700301666665,S2F3,2
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,60,7.002565,191.35700301666665,S2F3,2
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,80,8.617211,191.35700301666665,S2F3,2
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,150,14.626644,191.35700301666665,S2F3,2
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,250,12.586567,191.35700301666665,S2F3,2
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,300,10.950826,191.35700301666665,S2F3,2
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,400,7.874665,191.35700301666665,S2F3,2
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,30,1.16398,197.73701353333334,S2F3,3
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,40,2.735484,197.73701353333334,S2F3,3
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,60,7.093556,197.73701353333334,S2F3,3
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,80,11.659544,197.73701353333334,S2F3,3
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,150,16.264111,197.73701353333334,S2F3,3
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,250,13.667813,197.73701353333334,S2F3,3
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,300,11.718849,197.73701353333334,S2F3,3
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,400,8.391026,197.73701353333334,S2F3,3
